Week,Searches
1,0
2,31
3,0
4,0
5,50
6,0
7,0
8,0
9,31
10,0
11,0
12,36
13,26
14,0
15,0
16,31
17,25
18,34
19,27
20,67
21,38
22,52
23,45
24,62
25,68
26,68
27,77
28,54
29,100
30,76
31,44
32,26
33,38
34,0
35,41
36,36
37,0
38,25
39,32
40,0
41,29
42,3
43,16
44,13
