Week,Searches
1,18
2,20
3,19
4,23
5,21
6,23
7,21
8,25
9,22
10,25
11,30
12,31
13,36
14,50
15,50
16,54
17,65
18,68
19,77
20,82
21,92
22,93
23,93
24,90
25,91
26,96
27,100
28,94
29,96
30,98
31,87
32,95
33,97
34,95
35,91
36,93
37,80
38,77
39,65
40,62
41,49
42,57
43,55
44,47
