Week,Searches
1,57
2,65
3,58
4,59
5,59
6,58
7,59
8,58
9,62
10,60
11,64
12,100
13,63
14,62
15,63
16,63
17,67
18,65
19,62
20,65
21,64
22,61
23,60
24,60
25,62
26,65
27,69
28,68
29,69
30,70
31,65
32,65
33,63
34,63
35,64
36,57
37,58
38,62
39,60
40,57
41,62
42,64
43,62
44,63
